Business,Area,Type,Has website?,Website,Phone,Email,Instagram,Facebook,Google listing,Hot lead,What to pitch
Cinnamon Tree Indian Cuisine,Heald Green,Takeaway,has site,cinnamontreerestaurant.co.uk,0161 437 5701,,,,yes,,"Direct online ordering, mobile menu with photos, click-to-call"
Good Burger,Heald Green,Takeaway,has site,goodburgertakeaway.co.uk,0161 222 3990,,@goodburgerofficial,facebook.com/goodburgerofficial,yes,,"Fast mobile load, prominent order-online CTA, allergen info"
Golden Star,Heald Green,Takeaway,NO SITE,,0161 437 9409,,@goldenstar_hg,facebook.com/GoldenStar.HealdGreen,yes,HOT,"No site — one-pager with menu, phone, hours, map; owns 'chinese takeaway Heald Green'"
Heald Green Oriental,Heald Green,Takeaway,NO SITE,,0161 498 8688,,,,yes,HOT,Directory-only — branded site with online ordering + SEO
Sol's Takeaway,Heald Green,Takeaway,NO SITE,,0161 437 3452,,,,yes,HOT,TripAdvisor-only — basic mobile site with menu + click-to-call
Kismat Tandoori,Heald Green,Takeaway,NO SITE,,0161 437 6643,,,facebook.com/p/Kismat-Tandoori-Takeaway-100067626542874,yes,HOT,No site — menu + online-order page to cut aggregator fees
Nafees Sweet Centre & Restaurant,Heald Green,Restaurant,NO SITE,,0161 302 1555,,,facebook.com/nafeessweetshealdgreen,yes,HOT,No site — sweets/catering showcase with enquiry + gallery
Hair Master,Heald Green,Barber,has site,hairmaster.uk,0161 437 9889,,@hairmaster196,facebook.com/HairMasterHealdGrean,yes,,"Online booking, price list, gallery, mobile click-to-call"
Terence Paul Hairdressing,Heald Green,Salon,NO SITE,,0161 498 8585,,,,yes,HOT,"Fresha-only — branded salon site with team, pricing, booking"
Lavida Men Cutz,Heald Green,Barber,NO SITE,,07786 469421,,,,unknown,HOT,"Booksy-only — site with services, hours, booking link"
Gara Barber,Heald Green,Barber,NO SITE,,07479 501994,,,facebook.com/p/Gara-Barber-61568354876620,unknown,HOT,"No site — one-pager with map, hours, booking"
"Halo (Hair, Beauty & Aesthetics)",Heald Green,Salon,has site,halohealdgreen.co.uk,0161 243 2357,halohealdgreen@gmail.com,@halo_healdgreen,facebook.com/Halohairandbeautywythenshawe,yes,,"Treatment/price pages, before-after gallery, online deposits"
La Parisienne Beauty,Heald Green,Salon,has site,laparisiennebeauty.uk,,,,,unknown,,"Service menu with prices, online booking, reviews, vouchers"
Eden Salon,Heald Green,Salon,NO SITE,,0161 437 1200,,,,yes,HOT,Uses third-party microsite — owned branded site for SEO
Divine Nails & Beauty,Heald Green,Salon,NO SITE,,,,,,unknown,HOT,No site — gallery-led site with booking + price list
Bumble Bees Garden Maintenance,Heald Green,Gardener,has site,bumblebeesgardenmaintenance.co.uk,0161 282 8099,,,facebook.com/people/Bumble-Bees-Garden-Maintenance/100063727940900,unknown,,"Project gallery, service-area map, quote form, reviews"
Eco-Gardener,Heald Green,Gardener,has site,eco-gardener.co.uk,,,,,yes,,"Unique area pages (not thin), photos, testimonials, CTA"
Evergreen Landscaping,Heald Green,Gardener,has site,landscape-gardeners-stockport.co.uk,,,,,unknown,,"Portfolio depth, mobile layout, prominent quote form"
Finney Lane Dental Care,Heald Green,Dentist,has site,finneylanedental.co.uk,0161 437 4040,info@finneylanedental.co.uk,@finneylanedentalcare,,yes,,"Treatment pages, fees, online booking, finance CTAs"
Ringway Dental,Heald Green,Dentist,has site,ringwaydental.com,0161 437 2029,smiles@ringwaydental.com,,,yes,,"Cosmetic landing pages, before/after, reviews, booking CTA"
Cafe on the Lane,Heald Green,Cafe,NO SITE,,0161 546 8498,,,facebook.com/cafeonthelane254,yes,HOT,"Directory-only — site with menu, hours, dog-friendly note, map"
Cafe Unity,Heald Green,Cafe,has site,cafeunity.com,0161 437 6345,sarah@cafeunity.com,,,yes,,"Current menu/events, mobile-friendly, clear location/hours"
The Brew HG,Heald Green,Cafe,has site,thebrewhg.co.uk,0161 437 2002,info@thebrewhg.co.uk,@thebrewhg,facebook.com/thebrewhg,yes,,"Menu, bar bookings, events calendar, mobile responsive"
Freeway Driving School,Heald Green,Driving instructor,has site,freewaydrivingschool.com,07866 764401,drew@freewaydrivingschool.com,,facebook.com/FreewayDrivingSchool,yes,,"Pricing, booking form, testimonials, gift vouchers"
Suja Driving School,Heald Green,Driving instructor,has site,sujadrivingschool.co.uk,03333 222233,,,,unknown,,"Non-thin area pages, clear pricing, reviews, enquiry CTA"
